Explainer_name,ExplainabilityTechnique,Dataset Type,ExplanationType,Concurrentness,Portability,Scope,Target,InformationContentEntity,computational_complexity,AI_Method,AI_Task,Implementation_Framework,Model_Access,Data_required,popularity
/Images/Anchors,Anchor,image,Anchor Explanation,post-hoc,model-agnostic,local,prediction,annotated_image / image,quadratic_time,"Machine_Learning, Neural_Networks (Computer)",Classification,Any,"File, API",No,1
/Images/Counterfactuals,Wachter,image,Counterfactual Explanation,post-hoc,model-agnostic,local,prediction,annotated_image / image,quadratic_time,"Machine_Learning, Neural_Networks (Computer)",Classification,TensorFlow2,"File, API",No,3
/Images/GradCam,GradCam_Technique,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,linear_time,Neural_Networks (Computer),Classification,"PyTorch, TensorFlow1, TensorFlow2",File,No,2
/Images/LIME,LIME,image,Feature Influence Explanation,post-hoc,model-agnostic,local,prediction,annotated_image / image,quadratic_time,"Machine_Learning, Neural_Networks (Computer)",Classification,Any,"File, API",No,1
/Images/IntegratedGradients,Integrated Gradient Technique,image,Contrasting Feature Importance Explanation,post-hoc,modelClassSpecific,local,prediction,heat_map,quadratic_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,3
/Images/NearestNeighbours,Data-driven ,image,Neighbourhood Explanation,post-hoc,modelClassSpecific,local,prediction,image,exponential_time,Neural_Networks (Computer),Classification,"PyTorch, TensorFlow1, TensorFlow2","File, API",Yes,2
/Images/SSIMNearestNeighbours,Data-driven ,image,Neighbourhood Explanation,post-hoc,model-agnostic,local,prediction,image,exponential_time,Machine_Learning,Classification,Any,"File, API",Yes,2
/Images/SSIMCounterfactuals,Wachter,image,Counterfactual Explanation,post-hoc,model-agnostic,local,prediction,image,exponential_time,Machine_Learning,Classification,Any,"File, API",Yes,3
/Images/ClassificationReport,Data-driven ,image,StatisticalExplanation,post-hoc,model-agnostic,global,model,table,linear_time,Machine_Learning,Classification,Any,"File, API",Yes,2
/Images/ConfusionMatrix,Data-driven ,image,StatisticalExplanation,post-hoc,model-agnostic,global,model,table,linear_time,Machine_Learning,Classification,Any,"File, API",Yes,1
/Images/Saliency,Gradient-based,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,quadratic_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,3
/Images/GradientInput,Gradient-based,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,quadratic_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,2
/Images/GuidedBackprop,Gradient-based,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,quadratic_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,1
/Images/GradCam++,GradCam_Technique,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,linear_time,Neural_Networks (Computer),Classification,"PyTorch, TensorFlow1, TensorFlow2",File,No,3
/Images/SmoothGrad,Gradient-based,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,linear_time,Neural_Networks (Computer),Classification,"PyTorch, TensorFlow1, TensorFlow2",File,No,2
/Images/SquareGrad,Gradient-based,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,linear_time,Neural_Networks (Computer),Classification,"PyTorch, TensorFlow1, TensorFlow2",File,No,1
/Images/VarGrad,Gradient-based,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,linear_time,Neural_Networks (Computer),Classification,"PyTorch, TensorFlow1, TensorFlow2",File,No,3
/Images/FORGrad,Gradient-based,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,quadratic_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,2
/Images/DeconvNet,Gradient-based,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,quadratic_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,2
/Images/Sobol,Feature_Relevance,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,exponential_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,1
/Images/Occlusion,Feature_Relevance,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,exponential_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,3
/Images/RISE,Feature_Relevance,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,exponential_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,2
/Images/HSIC,Feature_Relevance,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,exponential_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,1
/Images/KernelSHAP,SHAP,image,Saliency Map Explanation,post-hoc,model-specific,local,prediction,annotated_image / image,exponential_time,Neural_Networks (Computer),Classification,"TensorFlow1, TensorFlow2",File,No,3
/Tabular/ALE,ALE,multivariate,Feature Influence Explanation,post-hoc,model-agnostic,global,model,chart,linear_time,"Machine_Learning, Neural_Networks (Computer)","Regression, Classification",Any,"File, API",Yes,2
/Tabular/Anchors,Anchor,multivariate,Anchor Explanation,post-hoc,model-agnostic,local,prediction,"textual_entity, chart",quadratic_time,"Machine_Learning, Neural_Networks (Computer)",Classification,Any,"File, API",Yes,2
/Tabular/DicePrivate,DiCE,multivariate,Counterfactual Explanation,post-hoc,model-agnostic,local,prediction,table,quadratic_time,"Machine_Learning, Neural_Networks (Computer)",Classification,"TensorFlow1, TensorFlow2",File,No,1
/Tabular/DicePublic,DiCE,multivariate,Counterfactual Explanation,post-hoc,model-agnostic,local,prediction,table,quadratic_time,"Machine_Learning, Neural_Networks (Computer)",Classification,"TensorFlow1, TensorFlow2, PyTorch, Sklearn",File,Yes,3
/Tabular/DisCERN,DisCERN,multivariate,Counterfactual Explanation,post-hoc,model-agnostic,local,prediction,table,linear_time,"Machine_Learning, Neural_Networks (Computer)",Classification,Sklearn,File,Yes,2
/Tabular/Importance,Feature_Relevance,multivariate,Feature Influence Explanation,post-hoc,model-agnostic,global,model,chart,quadratic_time,Machine_Learning,"Regression, Classification",Any,File,Yes,2
/Tabular/LIME,LIME,multivariate,Feature Influence Explanation,post-hoc,model-agnostic,local,prediction,"chart, table",quadratic_time,"Machine_Learning, Neural_Networks (Computer)","Regression, Classification",Any,"File, API",Yes,1
/Tabular/DeepSHAPGlobal,SHAP,multivariate,Feature Influence Explanation,post-hoc,model-specific,global,model,chart,quadratic_time,Neural_Networks (Computer),"Regression, Classification","TensorFlow1, TensorFlow2",File,Yes,3
/Tabular/DeepSHAPLocal,SHAP,multivariate,Feature Influence Explanation,post-hoc,model-specific,local,prediction,chart,quadratic_time,Neural_Networks (Computer),"Regression, Classification","TensorFlow1, TensorFlow2",File,Yes,1
/Tabular/KernelSHAPGlobal,SHAP,multivariate,Feature Influence Explanation,post-hoc,model-agnostic,global,model,chart,exponential_time,Machine_Learning,"Regression, Classification",Any,"File, API",Yes,3
/Tabular/KernelSHAPLocal,SHAP,multivariate,Feature Influence Explanation,post-hoc,model-agnostic,local,prediction,chart,exponential_time,Machine_Learning,"Regression, Classification",Any,"File, API",Yes,2
/Tabular/TreeSHAPGlobal,SHAP,multivariate,Feature Influence Explanation,post-hoc,model-specific,global,model,chart,quadratic_time,Ensemble_Method,"Regression, Classification","Sklearn, XGBoost, LightGBM",File,Yes,1
/Tabular/TreeSHAPLocal,SHAP,multivariate,Feature Influence Explanation,post-hoc,model-specific,local,prediction,chart,quadratic_time,Ensemble_Method,"Regression, Classification","Sklearn, XGBoost, LightGBM",File,No,3
/Tabular/IREX,ALE,multivariate,Feature Influence Explanation,post-hoc,model-specific,global,model,chart,linear_time,"Machine_Learning, Neural_Networks (Computer)",Classification,Any,"File, API",Yes,2
/Tabular/NICE,Wachter,multivariate,Counterfactual Explanation,post-hoc,model-agnostic,local,prediction,table,linear_time,"Machine_Learning, Neural_Networks (Computer)",Classification,Any,"File, API",Yes,1
/Tabular/SHAPSummary,SHAP,multivariate,Feature Influence Explanation,post-hoc,model-agnostic,global,model,chart,exponential_time,"Machine_Learning, Neural_Networks (Computer)","Regression, Classification","Sklearn, XGBoost, LightGBM",File,Yes,3
/Tabular/SHAPDependence,SHAP,multivariate,Feature Influence Explanation,post-hoc,model-agnostic,global,model,chart,exponential_time,"Machine_Learning, Neural_Networks (Computer)","Regression, Classification","Sklearn, XGBoost, LightGBM",File,Yes,2
/Tabular/SHAPInteraction,SHAP,multivariate,Feature Influence Explanation,post-hoc,model-agnostic,global,model,chart,exponential_time,"Machine_Learning, Neural_Networks (Computer)","Regression, Classification","Sklearn, XGBoost, LightGBM",File,Yes,3
/Tabular/LiftCurve,Data-driven ,multivariate,StatisticalExplanation,post-hoc,model-agnostic,global,model,chart,linear_time,Machine_Learning,Classification,Sklearn,File,Yes,2
/Tabular/ROC-AUC,Data-driven ,multivariate,StatisticalExplanation,post-hoc,model-agnostic,global,model,chart,log_linear_time,Machine_Learning,Classification,Sklearn,File,Yes,1
/Tabular/PR-AUC,Data-driven ,multivariate,StatisticalExplanation,post-hoc,model-agnostic,global,model,chart,log_linear_time,Machine_Learning,Classification,Sklearn,File,Yes,3
/Tabular/PrecisionGraph,Data-driven ,multivariate,StatisticalExplanation,post-hoc,model-agnostic,global,model,chart,linear_time,Machine_Learning,Classification,Sklearn,File,Yes,2
/Tabular/CumulativePrecision,Data-driven ,multivariate,StatisticalExplanation,post-hoc,model-agnostic,global,model,chart,linear_time,Machine_Learning,Classification,Sklearn,File,Yes,1
/Tabular/RegressionPredictedVsActual,Data-driven ,multivariate,StatisticalExplanation,post-hoc,model-agnostic,global,model,chart,linear_time,Machine_Learning,Regression,Sklearn,File,Yes,3
/Tabular/RegressionResiduals,Data-driven ,multivariate,StatisticalExplanation,post-hoc,model-agnostic,global,model,chart,linear_time,Machine_Learning,Regression,Sklearn,File,Yes,2
/Tabular/ConfusionMatrix,Data-driven,multivariate,StatisticalExplanation,post-hoc,model-agnostic,global,model,table,linear_time,Machine_Learning,Classification,Sklearn,File,Yes,1
/Tabular/SummaryMetrics,Data-driven ,multivariate,StatisticalExplanation,post-hoc,model-agnostic,global,model,table,linear_time,Machine_Learning,"Regression, Classification",Sklearn,File,Yes,3
/Tabular/PDP,Feature_Relevance,multivariate,Feature Influence Explanation,post-hoc,model-agnostic,global,model,chart,quadratic_time,Machine_Learning,"Regression, Classification",Sklearn,File,Yes,2
/Tabular/ICE,Feature_Relevance,multivariate,Feature Influence Explanation,post-hoc,model-agnostic,local,prediction,chart,linear_time,Machine_Learning,"Regression, Classification",Sklearn,File,Yes,3
/Tabular/PertCF,Wachter,multivariate,Counterfactual Explanation,post-hoc,model-agnostic,local,prediction,table,quadratic_time,Machine_Learning,Classification,Sklearn,File,Yes,2
/Misc/AIModelPerformance,Data-driven ,multivariate,StatisticalExplanation,post-hoc,model-agnostic,global,model,table,constant_time,Machine_Learning,InductiveTask,Any,Any,No,1
/Text/LIME,LIME,text,Feature Influence Explanation,post-hoc,model-agnostic,local,prediction,"chart, table",linear_time,"Machine_Learning, Natural_Language_Processing",Classification,Any,"File, API",No,3
/Text/NLPClassifier,Data-driven ,text,Feature Influence Explanation,post-hoc,model-specific,local,prediction,"table, textual_entity",quadratic_time,"Machine_Learning, Natural_Language_Processing",Classification,Sklearn,File,No,1
/Timeseries/CBRFox,Knowledge_Extraction,multivariate_time_series,Case-based Explanation,post-hoc,model-agnostic,local,prediction,chart,quadratic_time,Machine_Learning,Forecasting,Any,File,Yes,3
/Timeseries/iGenCBR,Knowledge_Extraction,multivariate_time_series,Case-based Explanation,post-hoc,model-specific,local,prediction,chart,quadratic_time,Neural_Networks (Computer),Forecasting,"TensorFlow1, TensorFlow2",File,Yes,1
/Timeseries/LIMESegment,LIME,univariate_time_series,Feature Influence Explanation,post-hoc,model-agnostic,local,prediction,chart,quadratic_time,Machine_Learning,Binary Classification,Any,"File, API",No,3
/Timeseries/NEVES,LIME,univariate_time_series,Feature Influence Explanation,post-hoc,model-agnostic,local,prediction,chart,quadratic_time,Machine_Learning,Binary Classification,Any,"File, API",Yes,1
/Timeseries/LEFTIST,LIME,univariate_time_series,Feature Influence Explanation,post-hoc,model-agnostic,local,prediction,chart,quadratic_time,Machine_Learning,Binary Classification,Any,"File, API",Yes,3
/Timeseries/NearestNeighbours,Data-driven,univariate_time_series,Neighbourhood Explanation,post-hoc,model-agnostic,local,prediction,chart,quadratic_time,Machine_Learning,Binary Classification,Any,"File, API",Yes,2
/Timeseries/NativeGuides,Wachter,univariate_time_series,Counterfactual Explanation,post-hoc,model-agnostic,local,prediction,chart,quadratic_time,Machine_Learning,Binary Classification,Any,"File, API",Yes,1
/Timeseries/SummaryMetrics,Data-driven,univariate_time_series,StatisticalExplanation,post-hoc,model-agnostic,global,model,table,linear_time,Machine_Learning,Classification,Any,"File, API",Yes,3
/Timeseries/ConfusionMatrix,Data-driven,univariate_time_series,StatisticalExplanation,post-hoc,model-agnostic,global,model,table,linear_time,Machine_Learning,Classification,Any,"File, API",Yes,2